severity,sheet_name,source_row,record_type,title,message
info,Group Head,9,kai,Pelaksanaan pengelolaan strategis pengadaan untuk mendukung pencapaian net income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,11,kai,% Penyelesaian Kajian pelabuhan transhipment petikemas,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,12,kai,Penyelesaian BA PELINDO dan subholding atas pemilihan mitra TCK Bengkulu dan pengiriman Surat ke Danantara terkait persetujuan pemilihan mitra TCK Bengkulu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,13,kai,% progress BAK dengan Kemenhub terkait 2 lokasi Belawan dan Bengkulu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,15,kai,"1. % Progress pemilihan mitra strategis cruise
2. % Progress relokasi terminal LNG dan 
3. % Progress pengembangan bisnis marina",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,17,output,(blank),Dropped OUTPUT row because output weight is blank.
info,Group Head,18,kai,Persentase dari penyelenggaraan perencanaan Feasibility Study dan skema komersial,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,19,kai,Persentase Penyelesaian Draft Dokumen Rencana Induk Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,20,kai,Persentase Pelaksanaan dan Evaluasi Rencana Jangka Panjang,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,21,kai,Persentase Realisasi Implementasi KPI Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,Group Head,22,kai,Persentase penyelesaian temuan audit internal tepat waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Strategis,9,kai,Pelaksanaan pengelolaan strategis pengadaan untuk mendukung pencapaian net income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Strategis,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Strategis,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Strategis,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Strategis,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Strategis,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Strategis,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Strategis,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Perencanaan Strategis,17,kai,Persentase Penyelesaian Draft Dokumen Rencana Induk Pelabuhan,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Strategis,18,kai,Persentase Pelaksanaan dan Evaluasi Rencana Jangka Panjang,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Perencanaan Strategis,19,kai,Persentase penyelesaian temuan audit internal tepat waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Manajemen Kinerja Perusahaan,9,kai,Pelaksanaan pengelolaan strategis pengadaan untuk mendukung pencapaian net income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Manajemen Kinerja Perusahaan,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Manajemen Kinerja Perusahaan,11,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Manajemen Kinerja Perusahaan,12,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Manajemen Kinerja Perusahaan,13,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Manajemen Kinerja Perusahaan,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Manajemen Kinerja Perusahaan,15,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Manajemen Kinerja Perusahaan,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Manajemen Kinerja Perusahaan,17,kai,Persentase dari penyelenggaraan perencanaan Feasibility Study dan skema komersial,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Manajemen Kinerja Perusahaan,18,kai,Persentase Realisasi Implementasi KPI Korporasi,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Manajemen Kinerja Perusahaan,19,kai,Persentase penyelesaian temuan audit internal tepat waktu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Pengembangan Bisnis,9,kai,Pelaksanaan pengelolaan strategis pengadaan untuk mendukung pencapaian net income,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Pengembangan Bisnis,10,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Pengembangan Bisnis,11,kai,% Penyelesaian Kajian pelabuhan transhipment petikemas,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Pengembangan Bisnis,12,kai,Penyelesaian BA PELINDO dan subholding atas pemilihan mitra TCK Bengkulu dan pengiriman Surat ke Danantara terkait persetujuan pemilihan mitra TCK Bengkulu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Pengembangan Bisnis,13,kai,% progress BAK dengan Kemenhub terkait 2 lokasi Belawan dan Bengkulu,KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Pengembangan Bisnis,14,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Pengembangan Bisnis,15,kai,"1. % Progress pemilihan mitra strategis cruise
2. % Progress relokasi terminal LNG dan 
3. % Progress pengembangan bisnis marina",KAI period inferred from KPI Output Frequency because the source sheet does not provide a separate KAI period column.
info,DH Pengembangan Bisnis,16,output,(blank),Dropped OUTPUT row because output weight is blank.
info,DH Pengembangan Bisnis,17,output,(blank),Dropped OUTPUT row because output weight is blank.
